Time,Interrupt flag,Interrupt ctrl,Detection mode,Distance,precision,Magnitude/10000,Phase,AFE Temperature,Ambient ADC
2016/8/30 18:37,0,3,1,3.775,18,68.064,12598,113,2
2016/8/30 18:37,0,3,1,3.775,18,66.0992,12598,113,1
2016/8/30 18:37,0,3,1,3.779,16,71.7408,12606,113,1
2016/8/30 18:37,0,3,1,3.782,16,77.6928,12612,113,2
2016/8/30 18:37,0,3,1,3.778,16,78.0832,12604,113,1
2016/8/30 18:37,0,3,1,3.783,16,73.1776,12614,114,2
2016/8/30 18:37,0,3,1,3.783,18,69.4048,12614,113,2
2016/8/30 18:37,0,3,1,3.783,18,67.7856,12614,113,1
2016/8/30 18:37,0,3,1,3.786,16,76.2048,12620,113,2
2016/8/30 18:37,0,3,1,3.786,16,82.4416,12620,114,2
2016/8/30 18:37,0,3,1,3.787,16,83.4496,12622,114,1
2016/8/30 18:37,0,3,1,3.786,16,83.376,12620,114,2
2016/8/30 18:37,0,3,1,3.787,16,83.824,12622,113,1
2016/8/30 18:37,0,3,1,3.79,16,84.6624,12628,113,1
2016/8/30 18:37,0,3,1,3.794,18,68.528,12636,114,2
2016/8/30 18:37,0,3,1,3.802,20,50.8832,12652,113,1
2016/8/30 18:37,0,3,1,3.807,22,45.5552,12662,113,1
2016/8/30 18:37,0,3,1,3.824,20,48.3616,12694,113,2
2016/8/30 18:37,0,3,1,3.84,20,49.8848,12726,114,1
2016/8/30 18:37,0,3,1,3.866,22,46.5728,12778,114,2
2016/8/30 18:37,0,3,1,3.893,24,36.1088,12830,114,2
2016/8/30 18:37,0,3,1,3.923,28,29.1568,12890,114,1
2016/8/30 18:37,0,3,1,3.959,28,28.0512,12960,114,1
2016/8/30 18:37,0,3,1,3.994,28,30.8032,13030,114,2
2016/8/30 18:37,0,3,1,4.015,26,30.72,13070,113,1
2016/8/30 18:37,0,3,1,4.03,26,33.3072,13100,114,2
2016/8/30 18:37,0,3,1,4.046,26,34.352,13132,114,1
2016/8/30 18:37,0,3,1,4.073,26,32.5328,13184,114,2
2016/8/30 18:37,0,3,1,4.111,34,21.8144,13260,114,2
2016/8/30 18:37,0,3,1,4.135,38,18.7512,13306,114,1
2016/8/30 18:37,0,3,1,4.172,30,25.576,13380,114,1
